house_id,territory_id,living_area,geometry
125777,306,50,"{'type': 'Polygon', 'coordinates': [[[34.2901923, 59.5034609], [34.2902316, 59.5033496], [34.2900468, 59.5033328], [34.2900422, 59.5033457], [34.2898371, 59.5033271], [34.2898417, 59.5033141], [34.2894496, 59.5032785], [34.289445, 59.5032914], [34.2892399, 59.5032728], [34.2892445, 59.5032598], [34.2890596, 59.503243], [34.2890203, 59.5033545], [34.2891511, 59.5033664], [34.2894642, 59.5033948], [34.2897483, 59.5034206], [34.2900614, 59.503449], [34.2901923, 59.5034609]]]}"
125798,306,50,"{'type': 'Polygon', 'coordinates': [[[34.289969, 59.5041671], [34.2901884, 59.5041871], [34.2902216, 59.5040934], [34.2901962, 59.504091], [34.290233, 59.503987], [34.2902585, 59.5039893], [34.290329, 59.5037903], [34.2903035, 59.503788], [34.2903404, 59.5036839], [34.2903659, 59.5036862], [34.2903991, 59.5035924], [34.2901796, 59.5035724], [34.2901561, 59.5036388], [34.2900998, 59.5037977], [34.2900488, 59.5039418], [34.2899925, 59.5041007], [34.289969, 59.5041671]]]}"
125815,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1962131, 59.4817514], [34.1962015, 59.4816957], [34.1963395, 59.4816882], [34.1963512, 59.4817439], [34.1962131, 59.4817514]]]}"
125837,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1952035, 59.4827845], [34.1951934, 59.4827297], [34.1953649, 59.4827215], [34.195375, 59.4827763], [34.1952035, 59.4827845]]]}"
125842,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1979342, 59.4852334], [34.197924, 59.4851604], [34.1980716, 59.4851551], [34.1980817, 59.4852281], [34.1979342, 59.4852334]]]}"
125871,286,50,"{'type': 'Polygon', 'coordinates': [[[34.2005886, 59.4883204], [34.2006535, 59.488295], [34.2007256, 59.4883426], [34.2006608, 59.4883679], [34.2005886, 59.4883204]]]}"
125881,286,50,"{'type': 'Polygon', 'coordinates': [[[34.196196, 59.4819144], [34.1961843, 59.4818587], [34.1963224, 59.4818512], [34.196334, 59.4819069], [34.196196, 59.4819144]]]}"
125884,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1979791, 59.4853761], [34.1979751, 59.4853247], [34.1981108, 59.485322], [34.1981147, 59.4853734], [34.1979791, 59.4853761]]]}"
125903,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1956948, 59.4825248], [34.1956968, 59.482574], [34.195558, 59.4825754], [34.1955561, 59.4825262], [34.1956948, 59.4825248]]]}"
125926,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1952749, 59.4829563], [34.1952632, 59.4829006], [34.1954012, 59.4828931], [34.1954129, 59.4829488], [34.1952749, 59.4829563]]]}"
125960,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1965614, 59.4817174], [34.1965497, 59.4816617], [34.1966877, 59.4816542], [34.1966994, 59.4817099], [34.1965614, 59.4817174]]]}"
125970,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1978669, 59.4857559], [34.197977, 59.4857502], [34.1979872, 59.4858004], [34.197877, 59.4858062], [34.1978669, 59.4857559]]]}"
125990,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1980099, 59.4856851], [34.1980058, 59.4856291], [34.1981445, 59.4856266], [34.1981486, 59.4856826], [34.1980099, 59.4856851]]]}"
125993,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1998247, 59.4839923], [34.1997703, 59.4840411], [34.1996495, 59.4840063], [34.1997039, 59.4839576], [34.1998247, 59.4839923]]]}"
